Titre;classe_reelle;cote_reelle;cote_predite_reduit_standard;score_reduit_standard;confiance_reduit_standard;cote_predite_reduit_rameau_off;score_reduit_rameau_off;confiance_reduit_rameau_off;cote_predite_reduit_wikidata_off;score_reduit_wikidata_off;confiance_reduit_wikidata_off;cote_predite_reduit_fewshot_off;score_reduit_fewshot_off;confiance_reduit_fewshot_off;cote_predite_reduit_fewshot_elargi;score_reduit_fewshot_elargi;confiance_reduit_fewshot_elargi;cote_predite_complet_standard;score_complet_standard;confiance_complet_standard;cote_predite_complet_rameau_off;score_complet_rameau_off;confiance_complet_rameau_off;cote_predite_complet_wikidata_off;score_complet_wikidata_off;confiance_complet_wikidata_off;cote_predite_complet_fewshot_off;score_complet_fewshot_off;confiance_complet_fewshot_off;cote_predite_complet_fewshot_elargi;score_complet_fewshot_elargi;confiance_complet_fewshot_elargi;wikidata_qid;wikidata_occupation;wikidata_resume
Retables baroques de Bretagne et spiritualité du XVIIe siècle : étude sémiographique et religieuse /;N;N7949.A3 BRET 1972;N8237;4.0;0.95;N8237;4.0;0.98;N8237;4.0;0.95;N7560-8266;4.0;0.95;N6766-6846.5;0.0;0.95;N7604;4.0;0.98;N7604;4.0;0.98;N7604;4.0;0.98;N7604;4.0;0.98;N6846.5.B73 RETA;0.0;0.98;;;
Les arts rivaux : littérature et arts visuels d'Homère à Huysmans / Joseph Jurt;N;N72.L5 JURT 2018;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N72;4.0;0.95;N7560 JURT 2023;0.0;0.98;N7429;0.0;0.98;N7560 JURT 2023;0.0;0.98;N7429;0.0;0.95;N72.L5 JUR 20XX;4.0;0.95;;;
Costume in Greek tragedy / Rosie Wyles;N;N8260.1.WYLE 2011;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N5460;0.0;0.98;N7592.8;4.0;0.98;N7592.2;4.0;0.95;N5600;0.0;1.0;N7592.2;4.0;0.95;;;
Key monuments of the Baroque / Laurie Schneider Adams;N;N6415.B3 ADAM 2000;N7560-8266;0.0;0.95;N7475;0.0;0.95;N7560-8266;0.0;0.95;N5300-7418;4.0;0.95;N6415;4.0;1.0;N6447;4.0;0.98;N68.6;0.0;0.98;N6447;4.0;0.98;N6447;4.0;1.0;N6415.B3 ADAM;4.0;0.98;;;
Baroque in Italy / James Lees-Milne;N;N6916.5.B3 LEES 1959;N7475;0.0;0.95;N7560-8266;0.0;0.95;N7475;0.0;0.95;N5300-7418;4.0;0.98;N6415.B3;4.0;1.0;N68.3 LEES;0.0;1.0;N15;0.0;1.0;N68.3 LEES;0.0;1.0;N15;0.0;1.0;N6415.B3 LEE;4.0;1.0;;;
Understanding art : a reference guide to painting, sculpture, and architecture in the Romanesque, Go;N;N5940 UNDE 2000;N7480;0.0;0.95;N7560-8266;0.0;0.95;N7480;0.0;0.95;N5300-7418;4.0;0.95;N5300-7418;4.0;0.95;N6300;4.0;0.95;N6316;4.0;0.98;N6310;4.0;0.95;N6310;4.0;1.0;N6447.5;4.0;0.98;;;
Les Pays du Nord et Byzance : Scandinavie et Byzance : actes du Colloque nordique et international d;N;N7003 COLL 1981;N7183;4.0;0.95;N7560-8266;0.0;0.95;N7183;4.0;0.95;N7560-8266;0.0;0.95;N7183;4.0;0.95;N6250;4.0;0.95;N21;0.0;0.95;N6250;4.0;0.95;N68.6;0.0;0.95;N68.6;0.0;0.95;;;
Baroque et rococo / Germain Bazin;N;N6415.B3 BAZI 1994;N7480;0.0;0.95;N7480;0.0;0.95;N7480;0.0;0.95;N5300-7418;4.0;0.95;N6415.B3;4.0;0.95;N6447.5;4.0;0.95;N6447.5;4.0;0.95;N6447.5;4.0;0.98;N6447.5;4.0;0.98;N6415.B3 BAZI 19XX;4.0;0.95;;;
La pesanteur et la grâce = La pesantezza e la grazia : [exposition], Académie de France à Rome - Vil;N;N6494.A2 PESA 2010;N4390-5098;0.0;1.0;N4390-5098;0.0;1.0;N4390-5098;0.0;1.0;N4390-5098;0.0;0.98;N4390-5098;0.0;1.0;N5079.A-Z;0.0;0.95;N5068.A-Z;0.0;0.98;N7629.2.A-Z;0.0;0.95;N68.6;0.0;0.98;N5068.A-Z;0.0;0.95;;;
Les reliquaires du Musée Stéphane Gsell / par Jean Lassus, correspondant de l'Institut;N;N3808.3.Alger.GSELL 1958 (1) (reserve) boite 9;N5198-5299;0.0;0.95;N5198-5299;0.0;0.95;N5198-5299;0.0;0.95;N5198-5299;0.0;0.95;N5198-5299;0.0;0.95;N7355.A-Z;0.0;0.95;N7183;0.0;0.98;N7609;0.0;0.95;N7608;0.0;0.95;N3808.3.Alger;4.0;0.98;;;
Dictionary of women in religious art / Diane Apostolos-Cappadona;N;N7793.W65 APOS 1998;N7560-8266;4.0;0.95;N8354;0.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N8001.A-Z;4.0;0.95;N8080.A-Z;4.0;0.95;N8001.A-Z;4.0;0.95;N8050;4.0;0.95;N8189.5.A-Z;4.0;0.95;;;
L'art baroque / Yves Bottineau;N;N6415.B3 BOTT 2005;N7560-8266;0.0;0.95;N7475;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N6415.B3;4.0;0.95;N6447.5;4.0;1.0;N6447.5;4.0;0.98;N6447.5;4.0;1.0;N6447;4.0;1.0;N6415.B3 BOTT 2000;4.0;0.98;;;
The Baroque mind / Denis De Lucca;N;N6415.B3 DELU 2018;N7560-8266;0.0;0.95;N61-72;0.0;0.95;N7560-8266;0.0;0.95;N5300-7418;4.0;0.95;N6415.B3;4.0;1.0;N6447.5;4.0;0.95;N6490.4;4.0;0.98;N6447;4.0;1.0;N6447.5;4.0;1.0;N6415.B3;4.0;1.0;;;
La femme et le mariage en Grèce : les antiquités grecques du Musée Calvet / sous la direction d'Odil;N;N2054.FRAN AVIG 1996;N7480;0.0;0.95;N7560-8266;0.0;0.95;N7480;0.0;0.95;N7560-8266;0.0;0.95;N7763.T50;0.0;0.95;N5650;0.0;0.98;N7602;0.0;0.98;N5603.AVIG;0.0;0.95;N5603.A-Z;0.0;0.95;N7593.2;0.0;0.95;;;
Molière en costumes : [exposition, Moulins, Centre national du costume de scène et de la scénographi;N;N7628.M5 MEUN 2022;N4390-5098;0.0;0.95;N4390-5098;0.0;1.0;N4390-5098;0.0;0.95;N4390-5098;0.0;0.95;N4390-5098;0.0;1.0;N5079.A-Z;0.0;0.98;N5069.A-Z;0.0;0.98;N5073.A-Z;0.0;0.98;N7619.2.A-Z;4.0;0.95;NK4749.M65 MOLI 20XX;0.0;0.98;;;
Imagining the divine : art and the rise of world religions : [exposition, Oxford, Ashmolean Museum o;N;N72.R4 DIVI 2018;N7183;0.0;0.95;N4390-5098;0.0;0.98;N7183;0.0;0.95;N7560-8266;0.0;0.95;N72.R4;4.0;0.95;N8187 IMAG 2024;0.0;0.98;N8189;0.0;0.98;N8187 IMAG 2023;0.0;0.98;N8000;0.0;0.95;N72.R4;4.0;0.98;;;
Les sports en France de l'Antiquité à nos jours : une histoire, un patrimoine / textes de Franck Del;N;N8250 DELO 2023;N7480;0.0;0.95;N7480;0.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7650;4.0;0.95;N7650;4.0;0.98;N7650;4.0;0.95;N6502.5;0.0;0.98;N7593.6;4.0;0.95;;;
Studies in Renaissance & Baroque art : presented to Anthony Blunt on his 60th birthday;N;N6370 BLUN 1967;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N5300-7418;4.0;0.95;N6415-6766;4.0;0.95;N6447;4.0;0.98;N6490.4;4.0;0.98;N6447;4.0;0.98;N6447;4.0;0.98;N6415.B3;4.0;0.98;;;
Le mirage baroque / Pierre Charpentrat;N;N6415.B3 CHAR 1967;N7475;0.0;0.95;N7475;0.0;0.95;N7475;0.0;0.95;N7560-8266;0.0;0.95;N6415.B3;4.0;0.95;N6447.5;4.0;0.95;N68.3;0.0;0.98;N6447.5;4.0;0.95;N6447.5;4.0;0.95;N6415.B3 CHAR 20XX;4.0;0.95;;;
Baroque self-invention and historical truth : Hercules at the crossroads / Christopher Braider;N;N6415.B3 BRAI 2004;N7480;0.0;0.95;N7480;0.0;0.95;N7480;0.0;0.95;N5300-7418;4.0;0.95;N6415;4.0;0.95;N6447.5;4.0;0.98;N6494.B37;4.0;0.95;N6447.5;4.0;0.98;N6447.5;4.0;0.98;N6415.B3 BRAI 2019;4.0;0.95;;;
Baroque tendencies in contemporary art / edited by Kelly A. Wacker;N;N6490 BARO 2007;N7480;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N6766;4.0;0.95;N6494.BARO;4.0;0.98;N6494.BARO;4.0;0.98;N6494.BARO;4.0;0.98;N6494.A-Z;4.0;0.95;N6494.B2 WACK 20XX;4.0;0.95;;;
Une Minerve étrusque des Musées royaux d'art et d'histoire à Bruxelles / J. Ch. Balty;N;N5750.BALT 1961 BOITE ART CLASSIQUE;N7183;4.0;0.95;N400-3990;0.0;0.95;N7183;4.0;0.95;N400-3990;0.0;0.95;N400-3990;0.0;0.95;N7280-7289;4.0;1.0;N7280-7289;4.0;0.98;N5750;4.0;0.95;N1830;0.0;1.0;N7304;4.0;0.98;;;
Coquillages & crustacés : [exposition, Sète, Musée international des arts modestes, 20 juin-16 novem;N;N8243.S4 COQU 2010;N7660;4.0;0.95;N7660;4.0;0.95;N7660;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560 COQU 2023;4.0;0.95;N7660;4.0;0.98;N7560 COQU 2023;4.0;0.95;N7560;4.0;0.95;N7660;4.0;0.95;;;
"Un inventaire du regard : écrits sur l'art et la littérature / Werner Spies ; édité par Thomas W. Ga";N;N7445.4 SPIE 2011;N7475;4.0;0.95;N7475;4.0;0.95;N7475;4.0;0.95;N61-72;0.0;0.95;N72.L5;0.0;0.95;N7429;4.0;0.95;N7425.3;4.0;0.98;N7429;4.0;0.95;N7429;4.0;0.95;N72.L5;0.0;0.98;;;
Bodies in transition : dissolving the boundaries of embodied knowledge / edited by Dietrich Boschung;N;N7560.BOSC 2015;N7560-8266;4.0;0.95;N8217;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7609;4.0;0.95;N7429.5;0.0;0.95;N7609;4.0;0.95;N5700;0.0;0.95;N5370;0.0;0.95;;;
The Oxford handbook of the Baroque / edited by John D. Lyons;N;N6415.B3 LYON 2019;N7480;0.0;0.95;N7560-8266;0.0;0.95;N7480;0.0;0.95;N5300-7418;4.0;0.95;N6415;4.0;0.95;N6447;4.0;0.95;N6490.4;4.0;0.98;N6447.5;4.0;0.98;N6447.5;4.0;0.98;N6415.B3 LYON;4.0;0.98;;;
"Le tournant ""artiste"" de la littérature française : écrire avec la peinture au XIXe siècle / Bernard";N;N72.L5 VOUI 2011;N7560.5;0.0;0.95;N7560-8266;0.0;0.95;N7480;0.0;0.95;N7560-8266;0.0;0.95;N72;4.0;0.95;N7429.7;0.0;0.95;N7429.2;0.0;0.95;N7429.7;0.0;0.95;N7429.7;0.0;0.95;N72.L5;4.0;0.98;;;
Griechische Klassik : Vorträge bei der interdisziplinären Tagung des Deutschen Archäologenverbandes;N;N5633 GRIE 1994;N7560.G73;0.0;0.95;N7560-8266;0.0;0.95;N7560.G73;0.0;0.95;N7560-8266;0.0;0.95;N7763.T50;0.0;0.95;N5073.A-Z;0.0;0.95;N2307;0.0;0.98;N5073.A-Z;0.0;0.95;N6260;4.0;0.98;N5073.A-Z;0.0;0.95;;;
Spiritualité contemporaine de l'art : approches théologique, philosophique et pratique : [colloque A;N;N7880 COLL 2012;N7480;0.0;0.95;N61-72;0.0;0.95;N7480;0.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N8000 ICON 20XX;4.0;0.95;N8001;4.0;0.95;N8000 ICON 1990;4.0;0.95;N8000;4.0;0.95;N8000.A-Z;4.0;0.95;;;
L'art sacré au XXe siècle en France / textes, Jacques Bony, Emmanuel Bréon, Philippe Dagen,... [et a;N;N7949.A1 ARTS 1993;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7304;0.0;0.98;N7604;4.0;0.98;N7604;4.0;0.98;N7604;4.0;0.98;N6540.5.A-Z;0.0;0.95;;;
El espíritu de la imagen : arte y religión en el mundo hispánico de la Contrarreforma / Carlos Alber;N;N7962.A1 GONZ 2017;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N72.R4 ESPA 16;0.0;0.95;N8000.A-Z;4.0;0.95;N7607;4.0;0.98;N8000.ALBE 2023;4.0;0.98;N686.A-Z;0.0;0.95;N7612;4.0;0.98;;;
La palette du ciel : art baroque ibéro-américain, XVIe-XVIIIe siècles : colonisation de l'esprit et;N;N6502.2 BAEZ 2021;N7560;0.0;0.95;N7560-8266;0.0;0.95;N7560;0.0;0.95;N7560-8266;0.0;0.95;N7255.L37;4.0;0.95;N6245;4.0;0.95;N7607;0.0;0.98;N6245;4.0;0.95;N6576.2;4.0;0.95;N6545.B3 LATI 20XX;4.0;0.95;;;
Winckelmann et le retour à l'antique : actes du colloque, 9-12 juin 1994 / Entretiens de la Garenne;N;N7483.W5 ENTR 1995;N7480;4.0;0.95;N7480;4.0;0.95;N7480;4.0;0.95;N5300-5399;0.0;0.98;N7480;4.0;0.95;N8010;0.0;0.95;N68.3;0.0;0.98;N8010;0.0;0.95;N6494.A-Z;0.0;0.95;N7480;4.0;0.95;;;
L'illustration des liturgies dans l'art de Byzance et de l'Orient / J.D. Stefănescu, ...;N;N7852.5 STEF 1936;N7183;0.0;0.95;N7183;0.0;0.95;N7183;0.0;0.95;N7560-8266;4.0;0.95;N7183;0.0;0.95;N8189.3.A-Z;4.0;0.95;N8189.3.A-Z;4.0;0.95;N8189.3.A-Z;4.0;0.95;N6250;0.0;1.0;N8189.3.A-Z;4.0;0.95;;;
Baroque influencers : Jesuits, Rubens, and the arts of persuasion / edited by Pierre Delsaerdt and E;N;N6415.B3 DELS 2023;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7560-7699;0.0;0.95;N7560-8266;0.0;0.95;N6415.B3;4.0;0.95;N68.6.A-Z;0.0;0.95;N68.3;0.0;0.98;N6865;4.0;0.98;N68.6;0.0;0.95;N6866 BARO;4.0;0.98;;;
Angers antique : [exposition], Musée Pincé... Angers... mai 1978-mai 1979;N;N2053.3.FRAN ANGE 1979 BOÎTE M7;N7183;0.0;0.95;N4390-5098;0.0;1.0;N7183;0.0;0.95;N4390-5098;0.0;1.0;N4390-5098;0.0;1.0;N5600;0.0;1.0;N5650;0.0;1.0;N5600;0.0;0.98;N5600;0.0;1.0;N5600;0.0;0.98;;;
Les créateurs et le sacré : textes et témoignages de Delacroix à nos jours / Camille Bourniquel et J;N;N72.R4 BOUR 1956;N8237;0.0;0.95;N7560-8266;0.0;0.95;N8237;0.0;0.95;N7560-8266;0.0;0.95;N72.R4 BOUR 2023;4.0;0.95;N8001;0.0;0.95;N8001.CREA 2023;0.0;0.95;N8001;0.0;0.95;N8000;0.0;0.95;N72.R4 BOUR 20XX;4.0;0.95;;;
Tableaux d'auteurs : après l'Ut pictura poesis / Bernard Vouilloux;N;N72.L5 VOUI 2004;N7480;0.0;0.95;N7480;0.0;0.98;N7480;0.0;0.95;N61-72;4.0;0.95;N7560-8266;0.0;0.95;N7429;0.0;0.95;N7429;0.0;0.98;N7429;0.0;0.95;N7429;0.0;0.95;N67;4.0;0.95;;;
Baroque et rococo en Belgique = Barok en rococo in Belgie͏̈ = Baroque and rococo in Belgium / à l'in;N;N6966 MING 1987;N7560-8266;0.0;0.95;N7480;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7603;0.0;1.0;N1840;0.0;0.98;N7603;0.0;1.0;N7603;0.0;1.0;N6766;4.0;1.0;;;
Le regard du Christ dans l'art : IVe - XXIe siècle : temps et lieux d'un échange / François Bœspflug;N;N8050 BOES 2014;N7660;4.0;0.95;N7660;4.0;0.95;N7660;4.0;0.95;N7560-8266;4.0;0.95;N72.ICON;0.0;0.95;N8050;4.0;0.98;N8053;4.0;0.98;N8060;4.0;0.98;N8050;4.0;0.98;N8060;4.0;0.98;;;
Entre les lignes : art et litterature : [exposition, Montpellier, MO.CO. et MO.CO. Panacée, 2 mars -;N;N72.L5 HAMB 2024;N7560-8266;0.0;0.95;N4390-5098;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7560-8266;0.0;0.95;N7430.5;0.0;0.95;N5069.A-Z;0.0;0.98;N7430.5;0.0;0.95;N7430.5;0.0;0.95;N72.L5;4.0;0.98;;;
Voir les mythes : poésie hellénistique et arts figurés / Pascale Linant de Bellefonds et Évelyne Pri;N;N7760 LINA 2017;N8217;4.0;0.95;N7480;0.0;0.95;N8217;4.0;0.95;N7560-8266;4.0;0.95;N7763;4.0;0.95;N7565;4.0;0.95;N5475;0.0;0.98;N7565;4.0;0.95;N68.6;0.0;0.95;"```json
{
  ""sous_classe"": ""N7763.T50 LINA 20XX"",  // À compléter avec l'année exacte si disponible (ex: N7763.T50 LINA 2018)
  ""confiance"": 0.95
}
```";0.0;0.7;;;
"Personnages et scènes de la littérature / Francesca Pellegrino, Federico Poletti ; traduit de l'ital";N;N8215 PELL 2004;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N7560-8266;4.0;0.95;N8215;4.0;0.95;N8215;4.0;0.98;N8215;4.0;0.95;N8215;4.0;0.98;N72.L5 PELE 2023;0.0;0.98;;;
Ex fumo lucem : baroque studies in honour of Klára Garas, presented on her eightieth birthday / Muse;N;N6415.B3 GARA 1999;N7183;4.0;0.95;N7560-8266;0.0;0.95;N7183;4.0;0.95;N7560-8266;0.0;0.95;N6415.B3;4.0;0.95;N6447.5;4.0;0.95;N6494.BAR;4.0;0.98;N6447.5;4.0;0.95;N6447.5;4.0;0.98;N6415.B3;4.0;1.0;;;
L'art et le désir de Dieu : une enquête philosophique / Roger Pouivet;N;N72.R4 POUI 2017;N61-72;4.0;0.95;N61-72;4.0;0.95;N61-72;4.0;0.95;N61-72;4.0;0.95;N61-72;4.0;0.95;N8001.A-Z;0.0;0.95;N8001.PHIL;0.0;0.98;N8001.A-Z;0.0;0.95;N8000;0.0;0.95;N72.R4 POU 20XX;4.0;0.95;;;
Italian Baroque art / edited by Susan M. Dixon;N;N6916.5.B3 ITAL 2008;N7560-8266;0.0;0.98;N7560-8266;0.0;0.98;N7560-8266;0.0;0.98;N5300-5399;4.0;0.98;N6766;4.0;0.98;N68.3;0.0;1.0;N15;0.0;1.0;N68.3;0.0;1.0;N15;0.0;1.0;N6415.B3 DIX 2000;4.0;0.98;;;
"La ""littérature d'art"" : entre critique et création : [Journée d'Études tenue à la Maison de la Rech";N;N7476 LITT 2010;N7475;4.0;0.95;N7475;4.0;0.95;N7475;4.0;0.95;N61-72;0.0;0.9;N72;0.0;0.95;N7475;4.0;0.95;N21;0.0;0.98;N7475;4.0;0.95;N7429.7;4.0;0.95;N72.L5;0.0;0.95;;;
L'urbanisme : utopies et réalités : une anthologie / Françoise Choay;;NA9031 URBA 1965;NA9000-9428;4.0;0.98;NA9000-9428;4.0;0.98;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9040;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.98;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9040;4.0;0.95;;;
"Les débats sur la ville . 1 / François Ascher, Francis Ampe, Alexandre Chemetoff... [et al.] ; sous";;NA9095 DEBA 1998-;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.98;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9094;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9053.P65;4.0;0.95;;;
Le sol des villes : ressource et projet : [première journée d'étude Bernardo Secchi, Genève, 22 sept;;NA9050 SOLD 2016;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9040;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;;;
"Architettura barocca / Christian Norberg-Schulz ; [traduzione, Elena Papanis]";;NA200 STOR 1971-;NA4590-5621;0.0;0.95;NA4590-5621;0.0;0.98;NA4590-5621;0.0;0.95;NA190-1555.5;4.0;1.0;NA4590-5621;0.0;0.95;NA3463;0.0;1.0;NA3463;0.0;1.0;NA590;4.0;1.0;NA3463;0.0;1.0;NA3463;0.0;1.0;;;
The baroque in architectural culture, 1880-1980 / edited by Andrew Leach,... John Macarthur,... Maar;;NA642 BARO 2015;NA190-1555.5;4.0;0.95;NA190-1555.5;4.0;0.95;NA190-1555.5;4.0;0.95;NA190-1555.5;4.0;0.95;NA190-1555.5;4.0;0.95;NA1995;0.0;0.95;NA590;4.0;1.0;NA1995;0.0;0.95;NA590;4.0;1.0;NA590;4.0;1.0;;;
"L'organisation urbaine : théories et modèles / Antoine S. Bailly ; [publié par le Centre de recherch";;NA9031 BAIL 1975;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.98;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9094;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;;;
Villes neuves : urbanisme classique / Antoine de Roux;;NA9094 ROUX 1997;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9094;4.0;0.95;NA702.5;0.0;0.98;NA9050.5;4.0;0.95;NA7115.3;0.0;0.95;NA60.A-Z;0.0;0.95;NA9094;4.0;0.95;;;
Les campus universitaires : architecture et urbanisme, histoire et sociologie, état des lieux et per;;NA6605.F8 CAMP 2014;NA4170-7020;4.0;0.98;NA4170-7020;4.0;0.98;NA4170-7020;4.0;0.98;NA4170-7020;4.0;0.95;NA4170-7020;4.0;0.95;NA7117.3;2.17;0.95;NA9050.5;0.0;0.95;NA7117.3;2.17;0.95;NA7117.3;2.17;0.95;NA9051.5;0.0;0.95;;;
Architecture, construction, urbanisme : 600 ouvrages de référence : bibliographies, catalogues, dict;;NA1044 ARCH 2002;NA2500-2599;0.0;0.95;NA2500-2599;0.0;0.95;NA2500-2599;0.0;0.95;NA2500-2599;0.0;0.95;NA2500-2599;0.0;0.95;NA310;4.0;0.95;NA31;0.0;0.98;NA310;4.0;0.95;NA31;0.0;1.0;NA31 NA31.5;0.0;0.95;;;
La cathédrale / Joe͏̈lle Prungnaud (Éd.);;NA2543.L5 CATH 2001;NA4590-5621;0.0;0.95;NA4590-5621;0.0;0.98;NA4590-5621;0.0;0.95;NA4590-5621;0.0;0.95;NA4590-5621;0.0;0.95;NA5060;0.0;0.98;NA4830;0.0;1.0;NA5095.CAT;0.0;0.95;NA4810;0.0;0.95;NA9050.5;0.0;0.95;;;
Les nouveaux principes de l'urbanisme / François Ascher;;NA9031 ASCH 2001;NA9000-9428;4.0;1.0;NA9000-9428;4.0;0.98;NA9000-9428;4.0;1.0;NA9000-9428;4.0;0.95;NA9040;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.98;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;;;
Des arbres dans la ville : l'urbanisme végétal / Caroline Mollie;;NA9053.E58 MOLL 2009;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.98;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA9053;4.0;0.95;NA9052;4.0;0.95;NA9052;4.0;0.95;NA9052;4.0;0.95;NA9052;4.0;0.95;NA9053.E58 MOLL 20XX;4.0;0.95;;;
"Plans et dessins : l'expression graphique des projets urbains / Bert McClure, Ariella Masboungi ; Mi";;NA2714 MCCL 1997;NA9000-9428;0.0;0.95;NA9000-9428;0.0;0.95;NA9000-9428;0.0;0.95;NA9000-9428;0.0;0.95;NA9094;0.0;0.95;NA9050.5;0.0;0.95;NA9050.5;0.0;0.95;NA9050.5;0.0;0.95;NA9050.5;0.0;0.95;NA9050.5;0.0;0.95;;;
Urbanisme et architecture : études écrites et publiées en l'honneur de Pierre Lavedan,... / [Jean Ac;;NA9040 URBA 1954;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.98;NA9000-9428;4.0;0.95;NA9000-9428;4.0;0.95;NA4170-7020;0.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050.5;4.0;0.95;NA9050;4.0;0.95;NA9050.5;4.0;0.95;;;
La ville, matière vivante : l'AUC, Grand Prix de l'urbanisme 2021 / Ariella Masboungi et Antoine Pet;;NA9031 GRAN 2021;NA4170-7020;0.0;0.98;NA9000-9428;4.0;0.98;NA4170-7020;0.0;0.98;NA4170-7020;0.0;0.95;NA4170-7020;0.0;0.98;NA9052;4.0;0.95;NA9051.4;4.0;0.95;NA9052;4.0;0.95;NA9050.5;4.0;0.95;NA9094 URBA 2021;4.0;0.95;;;
Activités d'architectes en Europe, nouvelles pratiques : Rencontres du réseau activités et métiers d;;NA1996 ACTI 2004;NA1995;0.0;0.95;NA1995;0.0;0.95;NA1995;0.0;0.95;NA1995;0.0;0.95;NA4170-7020;0.0;0.95;NA9013;0.0;0.95;NA1995;0.0;0.98;NA9013;0.0;0.95;NA9050.5;0.0;0.95;NA9050.5;0.0;0.95;;;
Littérature et architecture : actes de la journée d'études du 18 juin 2003, [Université Jean Moulin-;;NA2543.L5 LITT 2004;NA4170-7020;0.0;0.95;NA2695-2793;0.0;0.95;NA2500-2599;4.0;0.95;NA2500-2599;4.0;0.95;NA2500-2599;4.0;0.95;NA2543.A-Z;4.0;0.95;NA2543.A-Z;4.0;0.95;NA2543.A-Z;4.0;0.95;NA2543.A-Z;4.0;0.95;NA2543.A-Z;4.0;0.95;;;
Dynamiques de genre : la place des femmes en architecture, urbanisme et paysage / sous la direction;;NA2543.F45 BOUY 2023;NA4170-7020;0.0;0.95;NA190-1555.5;0.0;0.95;NA4170-7020;0.0;0.95;NA4170-(7020);0.0;0.95;NA4170-7020;0.0;0.95;NA835.5.W67;0.0;0.95;NA835;0.0;0.95;NA835;0.0;0.95;NA2599.8.A-Z;0.0;0.95;NA835;0.0;0.95;;;
Rêver la ville : voyage au pays des villes rêvées : l'Oniropolis, l'Utopia, la Virtuapolis, la Cyber;;NA209.5 JONA 2003;NA9000-9428;0.0;0.95;NA9000-9428;0.0;0.95;NA9000-9428;0.0;0.95;NA9000-9428;0.0;0.95;NA9040;0.0;0.95;NA209.5;4.0;0.95;NA9070;0.0;0.95;NA209.5;4.0;0.95;NA209.5;4.0;0.95;NA9094.8;0.0;0.95;;;
